_r;_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;objID;f_objID;Qual;e_RAJ2000;e_DEJ2000;Epoch;Ns;Nd;gmag;e_gmag;gKmag;e_gKmag;gFlags;rmag;e_rmag;rKmag;e_rKmag;rFlags;imag;e_imag;iKmag;e_iKmag;iFlags;zmag;e_zmag;zKmag;e_zKmag;zFlags;ymag;e_ymag;yKmag;e_yKmag;yFlags
0.7038;305.95678829;38.49159509;305.95678829;38.49159509;1.54193059566981E+017;444669952;53;0.0182;0.0182;55533.96951389;1;4;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;16416;19.1468;0;19.2276;0.0801;16892216;       ;       ;       ;       ;16416
0.7055;305.93352164;38.49612195;305.93352164;38.49612195;1.54193059335936E+017;444751872;53;0.0526;0.0526;55659.05675926;1;5;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.2131;0.1059;20.2431;0.1035;16794680;20.2362;0.1495;19.9694;0.048;115000;19.3464;0.1265;17.859;0.0936;16793912
0.7064;305.95793951;38.48563448;305.95793951;38.48563448;1.54183059579443E+017;503635968;60;0.0141;0.0102;55908.44239583;5;54;18.6216;0.0065;18.6449;0.0249;16892216;17.3531;0.0061;17.3743;0.0075;115000;16.6725;0.0058;16.7147;0.0077;115000;16.2628;0.0055;16.2851;0.0085;115000;15.9882;0.0039;16.0795;0.0172;115000
0.7076;305.95268108;38.49603598;305.95268108;38.49603598;1.54193059526416E+017;503635968;60;0.0119;0.0191;55856.90978009;5;43;20.7675;0.1145;19.9455;0.0315;16892216;19.3321;0.0167;19.3844;0.1863;16892216;18.5423;0.0207;18.4779;0.0361;115000;18.127;0.0176;17.9585;0.0296;16892216;17.8212;0.0784;17.4092;0.0463;115000
0.7111;305.93665752;38.49776282;305.93665752;38.49776282;1.54193059366788E+017;436281344;52;0.0236;0.0236;55895.91706019;1;5;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;16416;18.9642;0.0353;       ;       ;115000;17.9343;0.0299;12.6881;0.0031;16696
0.7114;305.94395461;38.4751673;305.94395461;38.4751673;1.54173059439501E+017;436527104;52;0.0242;0.0309;55855.16542824;3;18;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.4145;0.055;20.3057;0.0599;115000;19.3804;0.0331;19.4102;0.0512;115000;18.9131;0.0547;18.9988;0.067;115000
0.7244;305.95532089;38.47973639;305.95532089;38.47973639;1.54173059553136E+017;436527104;52;0.0389;0.0757;55703.47415509;3;14;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.1899;0.0691;20.6183;0.1222;115000;20.3611;0.153;20.4035;0.1636;115000;19.8273;0.1887;       ;       ;115256
0.7347;305.95710914;38.49229067;305.95710914;38.49229067;1.54193059571341E+017;310534144;37;0.0277;0.0277;55520.94662037;0;4;        ;       ;       ;       ;0;       ;       ;       ;       ;0;       ;       ;       ;       ;0;18.9987;0;18.6886;0.0542;16777496;18.4239;0.0612;16.4805;0.0302;16778264
0.7508;305.92780539;38.48311185;305.92780539;38.48311185;1.5418305927895E+017;436527104;52;0.4987;0.2773;55665.51063657;3;8;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;22.0663;0.4452;       ;       ;118840;20.2566;0.045;20.3382;0.2418;115000;19.5974;0.167;19.2249;0.2348;16892216
0.7576;305.93596207;38.47563794;305.93596207;38.47563794;1.54173059360291E+017;512024576;61;0.0152;0.0421;55907.88824074;4;41;        ;       ;       ;       ;16416;20.0942;0.0784;       ;       ;16892216;18.9335;0.059;18.9034;0.0436;16892216;18.4845;0.0318;18.2161;0.0557;115000;18.0899;0.0403;17.9812;0.0864;16892216
0.7611;305.9325501;38.49669573;305.9325501;38.49669573;1.54193059326677E+017;444751872;53;0.0503;0.0503;55658.97974537;2;7;        ;       ;       ;       ;16416;21.3737;0.163;20.4235;0.1247;16892216;21.0818;0.0944;20.1807;0.1023;16793912;19.8534;0.273;       ;       ;16892216;18.5396;0.0257;       ;       ;20528
0.7632;305.9324528;38.4966776;305.9324528;38.4966776;1.54193059322487E+017;310534144;37;0.0685;0.0685;56154.33844907;0;6;        ;       ;       ;       ;0;21.6693;0.1784;20.5896;0.1584;16777496;21.2695;0.1622;20.1997;0.1387;16777496;20.4155;0.132;       ;       ;280;19.402;0.1383;19.1936;0.0954;280
