_r;_RAJ2000;_DEJ2000;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;FG;e_FG;Gmag;e_Gmag;FBP;e_FBP;BPmag;e_BPmag;FRP;e_FRP;RPmag;e_RPmag;BP-RP;RVDR2;e_RVDR2;Tefftemp;loggtemp;PS1;SDSSDR13;SkyMapper2;URAT1;GmagCorr;e_GmagCorr;FGCorr;RAJ2000;DEJ2000
2.2386;305.94686079302;38.4498354592536;305.94683936397;0.2685;38.4498121037;0.2907;2.06112951658702E+018;0.5691;0.3555;6.471;-3.776;0.378;-5.255;0.37;1.021;195.56;0.72886;19.95916;0.004896;38.025;4.5764;21.388376;0.130701;243.34;4.7764;18.782377;0.021644;2.605999;       ;     ;      ;    ;1.5414305946838E+017;                   ;         ;         ;19.939679;0.004836;199.1;305.9468607926;38.44983545738
2.2413;305.942136487364;38.5243617351453;305.94211230361;0.2237;38.52434815737;0.4498;2.06113086090836E+018;0.7671;0.3386;5.24;-4.257;0.295;-3.055;0.497;1.029;342.66;1.2987;19.35021;0.004952;           ;           ;         ;         ;           ;           ;         ;         ;         ;       ;     ;      ;    ;                  ;                   ;         ;643418572;19.35021;0.004952;342.66;305.94213648546;38.52436173589
2.2419;305.923507750226;38.5211288442522;305.92350529049;0.1999;38.52110894203;0.2108;2.06113102841559E+018;-0.0845;0.2633;4.499;-0.433;0.263;-4.478;0.263;1.04;292.21;0.7701;19.523132;0.003972;89.78;5.8085;20.455597;0.070299;420.68;9.6414;18.188005;0.025169;2.267592;       ;     ;      ;    ;1.54223059235996E+017;                   ;         ;643418498;19.509597;0.003947;295.88;305.92350774938;38.52112884571
2.2433;305.96526084543;38.5201162598089;305.96523814574;0.0201;38.5200912687;0.0211;2.0611308952764E+018;0.5465;0.026;6.898;-3.996;0.028;-5.623;0.031;1.037;13391;5.1834;15.370364;0.002787;4979.6;11.099;16.095564;0.003693;12958;96.515;14.466597;0.008927;1.628967;       ;     ;      ;    ;1.54223059652785E+017;                   ;         ;643418673;15.370364;0.002787;13391;305.96526084463;38.52011625904
2.2454;305.942471613754;38.5244392877991;305.94245004889;0.1735;38.52442029669;0.2141;2.06113086090836E+018;1.2372;0.2411;5.716;-3.796;0.228;-4.273;0.271;1.906;639.87;1.6007;18.672142;0.003869;147.49;10.542;19.916632;0.077654;1229.7;24.185;17.023443;0.021686;2.893189;       ;     ;      ;    ;1.5422305942266E+017;                   ;         ;643418572;18.648071;0.003827;654.21;305.94247161608;38.52443928994
2.2507;305.923830092365;38.5213924573472;305.92381850941;1.0367;38.52137787957;0.8616;2.06113103270708E+018;1.4915;1.1666;3.862;-2.039;1.499;-3.28;1.37;1.143;95.125;0.90201;20.74163;0.010658;           ;           ;         ;         ;           ;           ;         ;         ;         ;       ;     ;      ;    ;                  ;                   ;         ;         ;20.74163;0.010658;95.125;305.92383009353;38.52139245663
2.2526;305.980535848185;38.5104017375577;305.98053080449;0.41;38.51038247978;0.4659;2.06113013506238E+018;0.6368;0.5819;4.423;-0.888;0.59;-4.333;0.687;1.114;156.28;0.83469;20.202637;0.00642;37.968;5.0041;21.389996;0.143123;226.67;8.9584;18.859406;0.043076;2.53059;       ;     ;      ;    ;1.54213059805483E+017;                   ;         ;         ;20.18445;0.006333;158.92;305.98053584736;38.51040173662
2.2534;305.9606281448;38.45207116258;305.9606281448;2.3276;38.45207116258;9.1674;2.06112931472721E+018;          ;       ;         ;         ;      ;         ;      ;        ;69.213;1.2343;21.086905;0.019558;20.846;4.8807;22.040972;0.254219;90.289;19.665;19.858812;0.23651;2.182159;       ;     ;      ;    ;1.54143059606213E+017;                   ;         ;         ;21.086905;0.019558;69.213;305.9606281448;38.45207116258
2.2573;305.915879876055;38.455946721932;305.91587328107;0.6956;38.45594621971;0.7679;2.06112948222859E+018;0.141;0.8931;1.167;-1.162;1.012;-0.113;1.198;1.145;99.96;0.83139;20.6878;0.009441;29.048;4.6733;21.680746;0.174695;124.95;5.8328;19.50609;0.050825;2.174656;       ;     ;      ;    ;1.54143059158678E+017;                   ;         ;         ;20.675922;0.009347;101.06;305.91587987507;38.45594672209
2.2578;305.952826548578;38.4501871953938;305.95280611824;0.1427;38.45016119984;0.1582;2.06112951658702E+018;0.3431;0.1884;6.868;-3.6;0.199;-5.849;0.211;1.037;439.51;0.94993;19.07995;0.003619;62.424;5.2336;20.850166;0.09107;574.42;6.2111;17.849825;0.012333;3.000341;       ;     ;      ;    ;1.54143059528061E+017;                   ;         ;643418621;19.054359;0.003584;449.99;305.95282654963;38.45018719392
2.2579;305.99031625366;38.4803352053809;305.9903086345;0.0735;38.48031317427;0.0936;2.06112975710588E+018;0.4821;0.1026;5.136;-1.342;0.1;-4.957;0.13;1.061;1343.4;1.6332;17.866882;0.003055;157.77;7.0618;19.843496;0.048678;1895.8;8.1918;16.553398;0.006024;3.290098;       ;     ;      ;    ;1.54173059903237E+017;                   ;         ;643418782;17.841291;0.003042;1375.4;305.99031625292;38.48033520679
